"","X","case_received_date","case_status","country_of_citizenship","decision_date","employer_state","employer_name","employer_yr_estab","foreign_worker_info_birth_country","foreign_worker_info_education","job_info_alt_combo_ed","job_info_alt_occ_job_title","job_info_job_title","job_info_work_state","wage_offer_from_9089","wage_offer_unit_of_pay_9089","employer_size","Center","Career_Cluster"
"39154",39153,2015,"Certified-Expired","FRANCE",2016,"MI","""ALIXPARTNERS, LLP""",1981,"","Master's","Bachelor's","Predictive analytics or management consulting","Associate","MA",107600,"Year","Large","CA or VT",272281
"66615",66614,2016,"Certified","INDIA",2016,"IL","THOUGHTWAVE SOFTWARE AND SOLUTIONS INC",2003,"","Bachelor's","Master's","Computer Software Professional","Sr. Programmer Analyst","IL",106000,"Year","Small","CA or VT",364625
"17198",17197,2015,"Certified","INDIA",2015,"MASSACHUSETTS","""RANDSTAD TECHNOLOGIES, LP""",2008,"INDIA","Master's","Bachelor's","""QA Lead, Test Engineer, Technical Member, or related occupation.""","Automation Architect","MASSACHUSETTS",125000,"Year","Large","CA or VT",193989
"63933",63932,2016,"Certified","INDIA",2016,"CA","EBAY INC.",1995,"","Bachelor's","Bachelor's","System Administrator or Network Engineer","Genesys Engineer","TX",117894,"Year","Large","CA or VT",356198
"44422",44421,2015,"Certified","INDIA",2016,"GA","""IDHASOFT, INC.""",2008,"","Bachelor's","Bachelor's","""Software Engineer, Programmer Analyst or related positions.""","Sr. SAP Systems Analyst","GA",1e+05,"Year","Large","CA or VT",289623
"20205",20204,2015,"Certified","CANADA",2015,"INDIANA","""BLUESKY TECHNOLOGY PARTNERS, INC.""",2006,"CHINA","Bachelor's","Bachelor's","""Consultant, Developer, Analyst, Engineer""","Senior Consultants","INDIANA",89544,"Year","Medium","CA or VT",203536
"12846",12845,2014,"Certified-Expired","INDIA",2015,"PENNSYLVANIA","SOFTNICE INC.",2001,"INDIA","Master's","Bachelor's","","Programmer Analyst","PENNSYLVANIA",83158,"Year","Medium","CA or VT",179819
"7536",7535,2014,"Certified-Expired","POLAND",2015,"CONNECTICUT","""STANLEY BLACK & DECKER, INC.""",1843,"POLAND","Master's","Bachelor's","ANY JOB TITLE WITH DUTIES INVOLVING SALES OR MARKETING","PRODUCT LINE MANAGER - MOWERS/HEDGE/GARDENING","MARYLAND",67721,"Year","Large","CA or VT",162503
"46468",46467,2015,"Certified","INDIA",2016,"TX","SIERRA INFOSYS INC",2002,"","Bachelor's","Bachelor's","COMPUTER SOFTWARE PROFESSIONAL","SYSTEMS ANALYST","TX",103000,"Year","Small","CA or VT",296518
"57329",57328,2016,"Certified","INDIA",2016,"CA","BROADCOM CORPORATION",1991,"","Master's","Bachelor's","Related Occupation","""Engineer, Principal - IC Design""","CA",150000,"Year","Large","CA or VT",332824
"34604",34603,2015,"Certified-Expired","INDIA",2016,"TX","COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION",1994,"","Bachelor's","Other","","Computer Systems Analyst - II","TX",64438,"Year","Large","CA or VT",256275
"22486",22485,2014,"Certified","VIETNAM",2015,"CALIFORNIA","GOOGLE INC.",1998,"VIETNAM","Master's","Bachelor's","See H.14.","Software Egineer","CALIFORNIA",110094,"Year","Large","CA or VT",211419
"69440",69439,2016,"Certified","AUSTRALIA",2016,"WA","AMAZON CORPORATE LLC",1999,"","Bachelor's","Bachelor's","""Software Engineer, Software Developer, or related""","Software Development Manager","WA",128294,"Year","Large","VT",373928
"49135",49134,2016,"Certified","CHINA",2016,"IL","MEDLINE INDUSTRIES",1966,"","Master's","Bachelor's","See H-14.","Master Data Mgmt Config Analyst II","IL",73550,"Year","Large","Unknown",305621
"53917",53916,2016,"Certified","INDIA",2016,"NJ","QUEST DIAGNOSTICS INCORPORATED",1967,"","Master's","Bachelor's","any occupation that provides required experience.","Senior Programmer Analyst","KS",106309,"Year","Large","CA or VT",321474
"67235",67234,2016,"Certified","CHINA",2016,"CA","GOOGLE INC.",1998,"","Bachelor's","Master's","See H.14","Software Engineer","CA",98342,"Year","Large","Unknown",366608
"34556",34555,2016,"Withdrawn","CHINA",2016,"VA","MARSCLOUD INC.",2005,"","Master's","Bachelor's","","Antique Painting Restorer","VA",62275,"Year","Micro","Unknown",256051
"13442",13441,2014,"Certified","CHINA",2015,"WASHINGTON","ADISYS CORPORATION",2009,"CHINA","Bachelor's","Master's","Computer Software Professional","Senior Software Design Engineer - Dynamics CRM","WASHINGTON",128773,"Year","Small","CA or VT",181626
"48969",48968,2016,"Certified","INDIA",2016,"TX","DOYENSYS INC",2006,"","Bachelor's","Bachelor's","**Storage administration  using EMC storage technologies","Consultant (Storage/ SAN Administrator)","TX",86216,"Year","Small","CA or VT",305054
"7226",7225,2014,"Certified-Expired","ARGENTINA",2014,"NEW YORK","SIMPSON THACHER & BARTLETT LLP",1884,"ARGENTINA","Master's","Master's","""Associate Attorney, Attorney or related occupation""","Associate Attorney-Capital Markets & Mergers & Acquisitions (Latin America)","NEW YORK",265000,"Year","Large","CA or VT",161508
"11031",11030,2014,"Certified-Expired","INDIA",2015,"VIRGINIA","""CAPITAL ONE SERVICES, LLC""",1995,"INDIA","Master's","Master's","Any job title in which the required qualifications were obtained.","Senior Business Systems Analyst - Technical Lead","VIRGINIA",98000,"Year","Large","CA or VT",174188
"18121",18120,2015,"Denied","COLOMBIA",2015,"FLORIDA","MORENO-JOSEPH  SPINE & SCOLOIOSIS",2006,"COLOMBIA","Bachelor's","None","","CHRONIC PAIN THERAPIST ASSISTANT","FLORIDA",66477,"Year","Small","Unknown",196864
"32619",32618,2015,"Certified-Expired","TAIWAN",2015,"CA","INTEL CORPORATION",1968,"","Bachelor's","Master's","Related Occupation","Application Developer","CA",152776,"Year","Large","Unknown",249032
"47732",47731,2016,"Certified","CHINA",2016,"WA","AMAZON CORPORATE LLC",1999,"","Bachelor's","Bachelor's","""Software Engineer or Tester, or related""","Software Development Engineer in Test II","WA",101088,"Year","Large","Unknown",300764
"14094",14093,2014,"Certified-Expired","INDIA",2015,"CALIFORNIA","QUALCOMM TECHNOLOGIES INC.",2011,"INDIA","Bachelor's","Master's","Software Engineer or related","Staff Product Commercialization Engineer/Software","CALIFORNIA",131619,"Year","Large","Unknown",183855
"60859",60858,2016,"Certified","AUSTRALIA",2016,"WA","AMAZON CORPORATE LLC",1999,"","Master's","Bachelor's","""Software Engineer, Software Developer, or related""","Software Development Engineer II","WA",101088,"Year","Large","VT",345590
"44524",44523,2015,"Certified","INDIA",2016,"WA","AMAZON CORPORATE LLC",1999,"","Master's","Bachelor's","""Operations Analyst, Program/Project Manager or related""","Senior Program Manager","WA",1e+05,"Year","Large","CA or VT",290007
"24080",24079,2015,"Certified","INDIA",2015,"NEW YORK","GOLDMAN SACHS SERVICES LLC",1997,"INDIA","Master's","Bachelor's","Related data warehousing/development role.","Sr. Analyst/Developer","NEW JERSEY",125800,"Year","Large","CA or VT",216792
"66819",66818,2016,"Certified","INDIA",2016,"NJ","LARSEN & TOUBRO INFOTECH LIMITED",1997,"","Master's","Other","ANALYST OR PROGRAMMER","SYSTEMS ANALYST","NJ",86070,"Year","Large","CA or VT",365210
"61247",61246,2016,"Certified","INDIA",2016,"NY","BLOOMBERG L.P.",1981,"","Master's","Bachelor's","Software Developer or related","Senior Java Developer","NY",115000,"Year","Large","CA or VT",346965
"61994",61993,2016,"Certified","SERBIA AND MONTENEGRO",2016,"CA","INTEL CORPORATION",1968,"","Bachelor's","Master's","Related occupation","Software Engineer","CA",120000,"Year","Large","Unknown",349373
"35282",35281,2015,"Denied","INDIA",2016,"CA","HEWLETT-PACKARD COMPANY",1939,"","Bachelor's","Other","related occupation","Software Engineer Quality Assurance","MA",122845,"Year","Large","CA or VT",259034
"25758",25757,2014,"Certified-Expired","CANADA",2015,"CALIFORNIA","QUALCOMM TECHNOLOGIES INC.",2011,"CHINA","Bachelor's","Master's","Software Engineer or related","Staff Software Engineer/Android Platform Development","CALIFORNIA",132746,"Year","Large","CA or VT",222565
"14194",14193,2014,"Certified","INDIA",2015,"NEW JERSEY","ERNST & YOUNG U.S. LLP",1989,"INDIA","Master's","Master's","""Software Engg, Appl Developer Intern, Sys Anylst Intern, FSO-EI-DM Sr, IT Risk & Assurance Staff""","FSO – Enterprise Intelligence Manager – Data Management","NEW YORK",112154,"Year","Large","CA or VT",184200
"42724",42723,2015,"Certified-Expired","INDIA",2016,"NY","BAHA INDUSTRIES CORP. DBA OPEN SYSTEMS TECHNOLOGIES",1990,"","Bachelor's","Bachelor's","Lead Business Analyst (Assistant Vice President)","Sr. Business Analyst","NY",120000,"Year","Large","CA or VT",284549
"29433",29432,2015,"Certified-Expired","INDIA",2015,"PA","NOBLESOFT SOLUTIONS INC",2007,"","Master's","Bachelor's","* Programmer Analyst or Related","Software Engineer (Job Code 002)","PA",97406,"Year","Medium","Unknown",236800
"44782",44781,2015,"Certified","INDIA",2016,"TX","NOKIA SOLUTIONS AND NETWORKS US LLC",1993,"","Master's","Bachelor's","""Network, Telecom, Engineering, or a related field""","Senior Network Engineer","CA",119350,"Year","Large","CA or VT",290747
"31234",31233,2015,"Certified-Expired","INDIA",2015,"NJ","GREYCELL LABS INC",2004,"","Master's","Bachelor's","""Programmer Analyst, Consultant, IT Staff, Developer, Associate, or related title""","Computer Software Programmer/Analyst","NJ",80000,"Year","Small","CA or VT",243350
"32160",32159,2015,"Certified-Expired","INDIA",2015,"TX","""CNET GLOBAL SOLUTIONS, INC""",2005,"","Master's","Bachelor's","","Senior Software Engineer","MN",83387,"Year","Medium","CA or VT",247224
"58500",58499,2016,"Certified","INDIA",2016,"OH","""GOKEN AMERICA, LLC""",2004,"","Bachelor's","Master's","""CAD Engineer, Lead Engineer, Project Engineer, Design Engineer, Deputy Manager (Vehicle Integration)""","Staff Engineer","OH",89128,"Year","Medium","CA or VT",337187
"51222",51221,2016,"Certified","INDIA",2016,"CA","""A2Z DEVELOPMENT CENTER, INC.""",2004,"","Master's","Bachelor's","""Software Eng, Software Dev, or related""","Software Development Engineer II","CA",120349,"Year","Large","CA or VT",312695
"54862",54861,2016,"Certified","CHINA",2016,"CA","GOOGLE INC.",1998,"","Master's","Bachelor's","See H.14","Software Engineer","NY",113000,"Year","Large","CA or VT",324729
"68075",68074,2016,"Certified","CANADA",2016,"MD","Dixon Valve & Coupling Company",1996,"","Other","Other","See H.14.","Advanced Production Machinist","VA",46280,"Hour","Large","Unknown",369484
"57489",57488,2016,"Certified","INDIA",2016,"TX","COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION",1994,"","Bachelor's","Other","","Computer Systems Analyst - II","TX",66144,"Year","Large","CA or VT",333495
"54683",54682,2016,"Certified","INDIA",2016,"TX","COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION",1994,"","Bachelor's","Other","","Computer Systems Analyst - II","TX",66144,"Year","Large","CA or VT",324126
"24044",24043,2014,"Certified-Expired","INDIA",2015,"CALIFORNIA","""PURE STORAGE, INC.""",2009,"INDIA","Master's","Bachelor's","Any similar position","""Product Marketing Manager, Database & Virtualization""","CALIFORNIA",155000,"Year","Large","CA or VT",216671
"43410",43409,2015,"Certified","ITALY",2016,"CA","""GILD, INC""",2011,"","High School","High School","""Web & Mobile Technology Coordinator, ... continued below in H. 11.""","Vice President of Engineering","CA",250000,"Year","Medium","CA or VT",286680
"59490",59489,2016,"Certified","INDIA",2016,"MD","""INOVALON, INC.""",1998,"","Master's","Bachelor's","""Developer, Analyst, or related role""","Product Manager","MD",103750,"Year","Large","CA or VT",340897
"4340",4339,2014,"Certified","CHINA",2015,"TEXAS","WYSE TECHNOLOGY L.L.C.",1981,"CHINA","Master's","Bachelor's","""Principal SW Eng, Research Asst, Grad Asst, or related""","Software Development Staff Engineer","CALIFORNIA",115000,"Year","Large","CA or VT",151984
"1600",1599,2013,"Certified-Expired","INDIA",2014,"NEW YORK","GOLDMAN SACHS & CO.",1869,"INDIA","Master's","Bachelor's","A related software development position.","Senior Analyst/Developer","NEW YORK",99700,"Year","Large","CA or VT",140207
"64846",64845,2016,"Certified","INDIA",2016,"CA","INFOGAIN CORPORATION",1990,"","Bachelor's","Bachelor's","""Analyst, Technical Consultant **see H.14""","Analyst","CA",120349,"Year","Large","CA or VT",359135
"1629",1628,2013,"Certified","INDIA",2015,"CALIFORNIA","INFOGAIN CORPORATION",1990,"INDIA","Bachelor's","Bachelor's","""Systems Analyst, Consultant, SW Engineer or in a related occupation""","Systems Analyst","CALIFORNIA",87000,"Year","Medium","CA or VT",140318
"54073",54072,2016,"Certified","CHINA",2016,"CA","GOOGLE INC.",1998,"","Doctorate","Doctorate","See H.14","Software Engineer","NY",113000,"Year","Large","CA or VT",321964
"12034",12033,2014,"Certified-Expired","INDIA",2015,"ILLINOIS","TRANSUNION",1969,"INDIA","Master's","Bachelor's","software development","Sr. Engineer - Information Technology","ILLINOIS",98000,"Year","Large","CA or VT",177195
"20252",20251,2015,"Certified","INDIA",2015,"PENNSYLVANIA","DELOITTE CONSULTING LLP",1996,"INDIA","Bachelor's","Master's","""Manager, Senior Consultant, Package Solution Consultant or related""","""Specialist Master, Technology, Oracle Package Technologies, EBS""","NORTH CAROLINA",120800,"Year","Large","CA or VT",203673
"50265",50264,2016,"Certified","INDIA",2016,"TX","COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION",1994,"","Bachelor's","Other","","Computer Systems Analyst - II","TX",66144,"Year","Large","CA or VT",309437
"47637",47636,2016,"Certified","INDIA",2016,"WA","AMAZON CORPORATE LLC",1999,"","Master's","Bachelor's","""Program Manager, Sales Manager, or rel.""","Product Manager","WA",115565,"Year","Large","CA or VT",300500
"438",437,2013,"Certified-Expired","INDIA",2015,"TEXAS","COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION",1994,"INDIA","Master's","Other","","Computer Systems Analyst - A","NEW JERSEY",74422,"Year","Large","CA or VT",136950
"68531",68530,2016,"Certified","BRAZIL",2016,"NJ","ERNST & YOUNG U.S. LLP",1989,"","Bachelor's","Master's","HC Mobility Practice - Staff; Advisory Staff; Trainee; or related","Tax Advisory Senior - Human Capital (HC) - Mobility (Multiple Positions)","NY",117437,"Year","Large","Unknown",370826
"8895",8894,2014,"Withdrawn","CHINA",2015,"NEW JERSEY","ERNST & YOUNG U.S. LLP",1989,"CHINA","Master's","Master's","""Mngr, Assurance; Sr. Associate, Assurance; Assoc., Assurance; or related""","Assurance Manager (Auditor)","NEW YORK",109554,"Year","Large","Unknown",167098
"25133",25132,2014,"Certified","INDIA",2015,"MASSACHUSETTS","VISTAPRINT USA INC.",1999,"INDIA","Bachelor's","Bachelor's","any related occupations performing SDLC ABAP development","Lead SAP Software Engineer","MASSACHUSETTS",106000,"Year","Large","CA or VT",220286
"15470",15469,2014,"Certified","INDIA",2015,"TEXAS","SAGE IT INC",2003,"INDIA","Bachelor's","Bachelor's","Systems Analyst or Tech Lead or IT Consultant or Software Engineer","Systems Analyst","TEXAS",95210,"Year","Medium","CA or VT",188297
"29160",29159,2015,"Certified-Expired","NEPAL",2015,"VA","""SYNCHRONISYS, INC.""",2008,"","Master's","Bachelor's","Business Process Analyst/equivalent","Business Analyst","VA",87194,"Year","Medium","CA or VT",236132
"16085",16084,2014,"Certified-Expired","SOUTH KOREA",2015,"CALIFORNIA","""E-RADIO KOREA USA.COM, INC.""",2005,"SOUTH KOREA","Bachelor's","Bachelor's","","Marketing Specialist","CALIFORNIA",35776,"Year","Micro","Unknown",190311
"49546",49545,2016,"Certified","FRANCE",2016,"PA","DELOITTE TAX LLP",1989,"","Master's","Bachelor's","Designing and developing complex [continued H.14]","Tax Manager (International Tax)","NY",116004,"Year","Large","CA or VT",306884
"57872",57871,2016,"Certified","INDIA",2016,"CA","""ARIBA, INC.""",1996,"","Bachelor's","Master's","""Will accept any suitable combination of education, training, or experience.""","IT Data Center Senior Specialist","CA",117645,"Year","Large","CA or VT",334778
"21627",21626,2014,"Certified","INDIA",2015,"TEXAS","TXU ENERGY RETAIL COMPANY LLC",1910,"INDIA","Bachelor's","Other","Related position in a service-oriented* (continued in H-14)","""IT Architect, Solution Integration""","TEXAS",98904,"Year","Large","CA or VT",208070
"19614",19613,2015,"Certified","INDIA",2015,"DISTRICT OF COLUMBIA","THE ADVISORY BOARD COMPANY",1979,"INDIA","Master's","Bachelor's","Software development experience","Senior Software Engineer – Crimson","TEXAS",113069,"Year","Large","CA or VT",201639
"56440",56439,2016,"Certified","INDIA",2016,"MI","COVISINT CORPORATION",2008,"","Bachelor's","Bachelor's","Any IT related position","Software Developer","MI",66000,"Year","Large","CA or VT",330081
"66310",66309,2016,"Certified","INDIA",2016,"IL","""CAPGEMINI AMERICA, INC.""",1991,"","Bachelor's","Other","""Software designer, developer, tester, or analyst""","Systems Analyst","NJ",86070,"Year","Large","CA or VT",363763
"13367",13366,2014,"Certified","INDIA",2015,"PENNSYLVANIA","""MASTECH, INC., A MASTECH HOLDINGS, INC. COMPANY""",1986,"INDIA","Bachelor's","Master's","""Systems Analyst,Software Developer or Similar IT Position""","Senior Software Developer - Java","PENNSYLVANIA",97989,"Year","Large","CA or VT",181387
"5983",5982,2014,"Certified-Expired","CHINA",2015,"CALIFORNIA","BROADCOM CORPORATION",1991,"CHINA","Master's","Master's","Related Occupation","""Engineer, Staff II - IC Design""","CALIFORNIA",91238,"Year","Large","CA or VT",157515
"30447",30446,2015,"Certified-Expired","INDIA",2015,"KS","KIEWIT ENERGY GROUP INC.",2005,"","Master's","Bachelor's","""Purchasing Supervisor, Process Control Eng. or Supervisor, Supplier Quality""","Vendor Surveillance Manager","KS",86362,"Year","Large","CA or VT",240554
"4448",4447,2013,"Certified-Expired","INDIA",2015,"TEXAS","COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION",1994,"INDIA","Bachelor's","Other","","Business Analyst - II","TEXAS",72384,"Year","Large","Unknown",152330
"17495",17494,2015,"Certified","INDIA",2015,"TEXAS","SAIBERSYS INC",2007,"INDIA","Master's","Bachelor's","* Programmer Analyst or Related","Sr. Software Developer (.NET)","TEXAS",79747,"Year","Small","Unknown",194872
"10995",10994,2014,"Certified-Expired","CHINA",2015,"CALIFORNIA","QUALCOMM TECHNOLOGIES INC.",2011,"CHINA","Master's","Bachelor's","","Hardware Engineer/ASIC/Chip Verification","CALIFORNIA",92123.2,"Year","Large","CA or VT",174084
"5585",5584,2014,"Certified-Expired","INDIA",2014,"NEW JERSEY","CYBER RESOURCE GROUP INC",2003,"INDIA","Master's","Bachelor's","Programmer Analyst or equiv.","Computer Systems Analyst","NEW JERSEY",124738,"Year","Medium","CA or VT",156293
"46545",46544,2016,"Certified","INDIA",2016,"NJ","""IRIS SOFTWARE, INC.""",1996,"","Bachelor's","Bachelor's","","Software Developer-SCM","NJ",123490,"Year","Medium","CA or VT",296709
"67237",67236,2016,"Certified","BRAZIL",2016,"CA","GOOGLE INC.",1998,"","Master's","Bachelor's","See H.14","Software Engineer","CA",140000,"Year","Large","Unknown",366612
"23016",23015,2014,"Certified-Expired","INDIA",2014,"NEW JERSEY","DATA GLOVE INC.",2006,"INDIA","High School","None","""Ntwrk Admnstr,Supp Engr,Field Engr/Premier Field Engr,Tech Supp Lead or equiv""","Systems Administrator","NEW JERSEY",72000,"Year","Medium","CA or VT",213116
"11693",11692,2014,"Certified-Expired","INDIA",2015,"OREGON","MENTOR GRAPHICS CORPORATION",1981,"INDIA","Bachelor's","Master's","Software Development Engineer or related","Software Development Engineer – Emulation Compiler","MASSACHUSETTS",106442,"Year","Large","Unknown",176149
"26066",26065,2015,"Certified","INDIA",2015,"FLORIDA","""BLUE CROSS AND BLUE SHIELD OF FLORIDA, INC.""",1980,"INDIA","Master's","Master's","","DEVELOPER","FLORIDA",84552,"Year","Large","CA or VT",223531
"21012",21011,2014,"Certified","SOUTH KOREA",2015,"ILLINOIS","MOTOROLA MOBILITY LLC",2010,"SOUTH KOREA","Bachelor's","Master's","","Mechanical Engineer","ILLINOIS",97575,"Year","Large","CA or VT",206097
"28834",28833,2015,"Withdrawn","INDIA",2015,"CT","""SAGARSOFT, INC""",1999,"","Bachelor's","Bachelor's","Programmer Analyst","Senior .Net Software Engineer","CT",102000,"Year","Medium","CA or VT",235120
"19763",19762,2015,"Certified","INDIA",2015,"PENNSYLVANIA","DELOITTE SERVICES LP",2000,"INDIA","Master's","Bachelor's","Performing design and project management for enterprise applications.","""Manager, Application Architecture""","TENNESSEE",110500,"Year","Large","CA or VT",202062
"29490",29489,2015,"Certified-Expired","COLOMBIA",2015,"CA","""TWITTER, INC.""",2006,"","Master's","Bachelor's","Software Engineer or Programmer Analyst","Software Engineer II","CA",135000,"Year","Large","CA or VT",237005
"16022",16021,2014,"Withdrawn","INDIA",2015,"MASSACHUSETTS","""CHARLES RIVER SYSTEMS, INC""",1984,"INDIA","Master's","Master's","Any providing required experience as noted in H.14 (job title(s) immaterial)","Sr. Software Engineer – JAVA","MASSACHUSETTS",122500,"Year","Large","CA or VT",190086
"67573",67572,2016,"Certified","INDIA",2016,"MA","""GRANTHAM, MAYO, VAN OTTERLOO & CO. LLC""",1977,"","Master's","Bachelor's","Any occupation that meets requirements in H.14","Investment Database Developer/Analyst","MA",120000,"Year","Large","CA or VT",367700
"66154",66153,2016,"Certified","INDIA",2016,"NY","CREDIT SUISSE SECURITIES (USA) LLC",1856,"","Master's","Bachelor's","""** data analysis and data mining; threshold optimization, alert scoring, auto-close, watch list func""","Assistant Vice President","NY",132500,"Year","Large","CA or VT",363331
"59010",59009,2016,"Certified","INDIA",2016,"VT","ITECH US INC.",2001,"","Master's","Bachelor's","any suitable IT occupation/experience","Software Engineer","VT",89000,"Year","Large","CA or VT",339142
"42630",42629,2015,"Certified-Expired","INDIA",2016,"MA","WELLINGTON MANAGEMENT COMPANY LLP",1928,"","Master's","Bachelor's","Network systems administration experience.","Senior Systems Engineer","MA",90000,"Year","Large","CA or VT",284258
"27439",27438,2015,"Certified-Expired","INDIA",2015,"NJ","HEADSTRONG SERVICES LLC",1997,"","Bachelor's","Bachelor's","""Job offered or  rel software engg, programmer, or sys analyst position""","Developer - Enterprise Applications II (multiple positions)","NY",108763,"Year","Large","CA or VT",228990
"22226",22225,2014,"Certified-Expired","UNITED KINGDOM",2014,"CALIFORNIA","GOOGLE INC.",1998,"UNITED KINGDOM","Bachelor's","Bachelor's","See H.14","Software Engineer","CALIFORNIA",140000,"Year","Large","Unknown",210497
"26107",26106,2015,"Certified","INDIA",2015,"KANSAS","""OBJECT TECHNOLOGY SOLUTIONS, INC""",1999,"INDIA","Bachelor's","Bachelor's","""Programmer/Systems Analyst, Software Engineer/Consultant, Team Lead or related""","OTS011-Software Engineer II","KANSAS",92000,"Year","Medium","CA or VT",223647
"41685",41684,2015,"Certified-Expired","INDIA",2016,"CA","""SAAMA TECHNOLOGIES, INC""",1997,"","Bachelor's","Bachelor's","""Programmer, see **H.14""","Sr. Computer Programmer","CA",115431,"Year","Large","CA or VT",280882
"37177",37176,2015,"Withdrawn","INDIA",2016,"MA","Fairplay Network Inc.",2014,"","Master's","Bachelor's","Any occupation(s) providing the required experience noted in H.14","Lead Software Engineer","MA",117250,"Year","Micro","CA or VT",265718
"31902",31901,2015,"Certified-Expired","INDIA",2015,"IL","ELITE IT SOLUTIONS INC",2012,"","Bachelor's","Master's","""Software Engineer, Programmer Analyst, Assoc DBA, Application Developer or Rel""","Software Engineer","IL",87800,"Year","Medium","CA or VT",246296
"47506",47505,2016,"Denied","MEXICO",2016,"NY","EL BANDIDO RESTAURANT INC",1976,"","None","None","""COOKING FOOD SPECIALIST, CHEF""","CHEF COOKING SPECIALIST","NY",27040,"Hour","Small","Unknown",300002
"27332",27331,2015,"Certified-Expired","INDIA",2015,"CA","HCL AMERICA INC.",1988,"","Bachelor's","Bachelor's","Related IT or engineering role.","Senior Business Analysts","CA",109762,"Year","Large","CA or VT",228582
"26267",26266,2015,"Certified-Expired","CANADA",2015,"CA","""TWITTER, INC.""",2006,"","Doctorate","Bachelor's","Field of Statistical Analysis or Data Analytics.","Senior Data Scientist","CA",130000,"Year","Large","CA or VT",224224
"43721",43720,2016,"Withdrawn","INDIA",2016,"MA","VIRTUSA CORPORATION",1995,"","Master's","Master's","""progrs, post bach softw dev exper, incl 2yrs wrkng w PRPC in a distr envir""","Senior Consultant - PRPC","NY",100214,"Year","Large","Unknown",287629
"18894",18893,2015,"Certified","INDIA",2015,"TEXAS","FMC TECHNOLOGIES",1928,"INDIA","Master's","Bachelor's","See H.14","Subsea Tree Engineer IV","TEXAS",95399,"Year","Large","CA or VT",199377
"37609",37608,2015,"Certified-Expired","INDIA",2016,"NJ","""Apex Technology Group, Inc.""",2001,"","Master's","Bachelor's","Job offered or any related field","Senior Business Analyst","NJ",94000,"Year","Medium","CA or VT",267126
"47058",47057,2016,"Certified","INDIA",2016,"MA","""RANDSTAD TECHNOLOGIES, LP""",1984,"","Master's","Bachelor's","""Application Consultant, Software Engineer, or related occupation""","Senior Software Developer","MA",120000,"Year","Large","CA or VT",298494
"41630",41629,2015,"Certified-Expired","INDIA",2016,"NJ","LARSEN & TOUBRO INFOTECH LIMITED",1997,"","Bachelor's","Other","""Sr. Com. Prog. Analyst, Prog. Analyst, Ass-Proj., App. Developer, Soft. Developer, Group Proj. Manag""","Senior Computer Programmer Analyst","NJ",93018,"Year","Large","CA or VT",280746
"68214",68213,2016,"Denied","SRI LANKA",2016,"TX","CBN Tech Force Inc",2014,"","Bachelor's","Other","","Health Care Data Analyst","TX",62800,"Year","Small","Unknown",369943
"33995",33994,2015,"Certified-Expired","INDIA",2016,"TX","SRI SOFTWARE SOLUTIONS",2008,"","Bachelor's","Bachelor's","","ETL Developer I","TX",82000,"Year","Micro","CA or VT",253802
"23146",23145,2014,"Certified-Expired","INDIA",2015,"TEXAS","COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION",1994,"INDIA","Bachelor's","Other","","Computer Systems Analyst - II","TEXAS",54059,"Year","Large","CA or VT",213668
"35783",35782,2015,"Withdrawn","INDIA",2016,"IL","""SEARS, ROEBUCK & CO""",1906,"","Master's","Master's","""Manager, Associate, Programer Analyst, or sim. occ.""","""Director, Strategy & Industry Solutions""","IL",131250,"Year","Large","Unknown",260806
"47914",47913,2016,"Certified","RUSSIA",2016,"CA","""RINGCENTRAL, INC.""",1999,"","Bachelor's","Bachelor's","Software or Database Engineer/Administrator/Analyst or related job title","Database Developer","CA",88650,"Year","Large","Unknown",301441
"40989",40988,2015,"Certified-Expired","VENEZUELA",2016,"FL","CAPITAL INT'L REALTY",2010,"","Bachelor's","Bachelor's","","Foreign Legal Consultant","FL",109000,"Year","Small","Unknown",278632
"62312",62311,2016,"Certified","INDIA",2016,"TX","NOVEDEA SYSTEMS INC",2005,"","Bachelor's","Bachelor's","",".Net Developer I","TX",82000,"Year","Small","CA or VT",350591
"30267",30266,2015,"Certified-Expired","INDIA",2015,"NJ","APPISOFT INC",2005,"","Master's","Bachelor's","","PROJECT ENGINEER","NJ",152000,"Year","Small","CA or VT",239966
"57430",57429,2016,"Certified","MOLDOVA",2016,"CA","ADOBE SYSTEMS INCORPORATED",1982,"","Bachelor's","Bachelor's","Any related occupation.","Senior Computer Scientist","CA",145950,"Year","Large","Unknown",333248
"135",134,2010,"Denied","INDIA",2015,"TEXAS","INFOSYS TECHNOLOGIES LIMITED",1981,"INDIA","Bachelor's","Other","""Project Manager, Software Engineer, Programmer/Analyst, IT Consultant/Professional, Systems Engineer""","Systems Analyst","CALIFORNIA",69160,"Year","Large","CA or VT",135838
"24891",24890,2014,"Certified-Expired","INDIA",2015,"WISCONSIN","""JOHNSON CONTROLS, INC""",1885,"INDIA","Master's","Master's","Experience providing complex IT solutions","Manager Collaboration Developer & Solution Architect","WISCONSIN",130416,"Year","Large","CA or VT",219433
